;;;;;;;;Office_Country_Code;; 
DAOZZM;1441365504;nan;40;2457245;nan;1440373376;ZRH;CH;CCS;nan
Q4YUPK;1443605888;nan;40;2457211;nan;1442501376;LGW;IE;DUB;nan
G6O2FV;1438942848;nan;40;2457195;nan;1440475136;USK;IE;DUB;nan
098HD4;1462853760;nan;40;2457418;nan;1460779648;BKK;GB;LHR;nan
QK1M16;1428106880;nan;40;2457020;nan;1425447040;DAC;SA;RUH;nan
AKM63Z;1442065920;nan;40;2457243;nan;1443240704;LAS;RU;LED;nan
CSL1XA;1445280384;B;40;2457270;nan;1444025216;TLV;PL;GDN;nan
01CDQG;1443789568;nan;40;2457215;nan;1440484480;BCN;ES;MAD;nan
OV22D6;1430053120;nan;20;2457203;nan;1432249856;LAX;NO;NBS;nan
G1HQBM;1469091456;nan;40;2457458;nan;1469862528;KUL;ES;MUC;nan
B87AE0;1405511040;nan;40;2456714;nan;1404939136;VIE;BE;VNO;nan
JN8O0M;1445680128;nan;40;2457239;nan;1443639296;BOS;FR;BOD;nan
ON6J0V;1427616640;nan;40;2457134;nan;1427438080;FCO;IT;FCO;nan
BZIZ9Z;1439049344;nan;40;2457266;nan;1439838976;CMN;MA;SVO;nan
11WMUQ;1437730560;nan;40;2457158;nan;1436659584;SFO;US;PHX;nan
4VJ6JX;1455901824;nan;40;2457310;nan;1454661120;BRU;BE;BRU;nan
W6MPDG;1446679680;nan;40;2457162;nan;1445025920;MNL;IT;MXP;nan
SPYJPA;1471825152;nan;40;2457457;nan;1470366848;BKK;FI;HEL;nan
X3HQZH;1445219968;nan;40;2457263;nan;1443558272;BLR;FR;TLS;nan
02CY75;1452604416;nan;40;2457376;nan;1453673856;EWR;US;LAX;nan
N4KKGS;1445094144;nan;40;2457245;nan;1441689600;DEL;IN;BOM;nan
7J06KF;1443556608;nan;40;2457204;nan;1442768768;MUC;SE;CZL;nan
JRMB25;1409895808;L;40;2456765;nan;1408384896;CIR;DK;CPH;nan
L8RDJ9;1441661952;nan;40;2457219;nan;1440209152;JED;GB;MAN;nan
VOHQZM;1403849600;nan;40;2456917;nan;1406917120;ZRH;FI;HEL;nan
YSG4BN;1422200704;nan;40;2457088;nan;1421674368;IST;KZ;ALA;nan
CR23FN;1413350400;nan;40;2456980;nan;1410060288;ARN;NO;YVR;nan
TM5FC8;1438895104;nan;40;2457261;nan;1439461760;IAD;EE;AMM;nan
CRIWUJ;1447227136;nan;20;2457257;nan;1447975936;RUH;SA;JED;nan
I6B1QL;1403667712;nan;10;2456788;nan;1404103808;DOH;FI;HEL;nan
LHU9AU;1450505728;L;40;2457360;nan;1450305920;VIE;DE;MUC;nan
MQA25F;1431400448;nan;40;2457210;nan;1431357184;FCO;FR;BCN;nan
A6CE08;1421566080;nan;40;2456989;nan;1418243072;BKK;DE;DUS;nan
N003L8;1445910272;nan;40;2457163;nan;1443813632;HAV;GB;LHR;nan
BGC044;1443789952;nan;40;2457182;nan;1443243776;CUN;IT;LED;nan
561MWY;1425870720;nan;40;2457085;nan;1426248576;AUH;PT;OPO;nan
GV75OS;1446019456;nan;40;2457240;nan;1446763264;JAI;US;FCO;nan
79IIVV;1439283200;nan;40;2457185;nan;1437756160;DEL;GB;JFK;nan
3NEFD1;1415832064;nan;40;2456929;nan;1417296128;TSE;DE;KIX;nan
UPO8ZY;1441734528;nan;40;2457267;nan;1440913280;TLL;US;VAA;nan
SPTKM9;1441423104;nan;40;2457199;nan;1439602816;SIP;RU;DME;nan
A83DHU;1435642880;B;40;2457198;nan;1436003328;LED;GB;GLA;nan
X8GUMF;1444747904;L;40;2456904;nan;1441051264;EWR;DE;HAM;nan
E6N0MG;1449856256;nan;40;2457308;nan;1451191040;BOG;PA;CLO;nan
GM1TAM;1438190208;B;40;2457227;nan;1440503040;TLV;US;JFK;nan
M06S53;1470565120;B;40;2457479;nan;1470144384;IAH;US;BLL;nan
WZRJ1B;1421278208;nan;40;2457030;nan;1419711360;MLA;SA;NSK;nan
6HET85;1444148224;nan;40;2457221;nan;1444590336;JFK;NG;LOS;nan
SXVKPY;1406429824;nan;40;2456774;nan;1404350208;FRA;DE;HAM;nan
S199GJ;1424006528;nan;30;2457074;nan;1423780864;LHR;GB;KEF;nan
HUIK2B;1442028800;nan;40;2457161;nan;1441251328;HEL;SE;JFR;nan
YRK9NE;1458453120;nan;40;2457367;nan;1457498112;DUR;DE;MUC;nan
WAOSPC;1412060288;nan;40;2456843;nan;1409294080;BCN;FR;GVA;nan
672QJF;1409977344;nan;40;2456865;nan;1409708544;AMS;DE;DUS;nan
XQBX45;1439675904;nan;40;2457194;nan;1440785408;ABJ;UY;MVD;nan
660TLH;1439452288;nan;20;2457238;nan;1442199040;LHR;SA;DEL;nan
0J5XUV;1452427392;nan;30;2457326;nan;1452597504;LHR;CZ;PRG;nan
DIXMBU;1443422464;nan;40;2457210;nan;1442210944;FCO;PL;WAW;nan
NUWBOX;1414351616;nan;40;2456984;nan;1414608640;LIS;ES;LPA;nan
3TC6PC;1411824256;nan;40;2456926;nan;1413505152;FUN;TH;SYD;nan
3IRIDD;1413604736;nan;20;2456873;nan;1412279040;LHR;DE;HAJ;nan
MVEJKW;1450164736;nan;40;2457335;nan;1448927872;TXL;NO;HPN;nan
JIXYAN;1444280064;nan;40;2457230;nan;1447117696;PEI;FI;HEL;nan
8YNVOV;1443989888;nan;40;2457218;nan;1441463040;MEL;SA;RUH;nan
JYQ3LF;1445904640;nan;40;2457185;nan;1443616768;NCE;FR;FRA;nan
II9NJI;1444840704;nan;40;2457250;nan;1440883200;DXB;AE;DXB;nan
5UI8L3;1409286144;nan;40;2456852;nan;1410463232;CDG;FR;OZH;nan
SGWYQC;1443867648;nan;40;2457146;nan;1438494208;DMM;SA;RUH;nan
0Z9USC;1439475456;nan;40;2457219;nan;1438987008;DOH;QA;DOH;nan
GYJAOK;1403043328;nan;40;2456732;nan;1401305472;PEK;KW;CMN;nan
H8ZVHG;1444926848;L;40;2457136;nan;1441371392;MXP;SA;SFO;nan
33JGNB;1441744768;nan;40;2457246;nan;1442795648;ATH;NL;TKU;nan
6OIREM;1454631296;nan;40;2457305;nan;1452992128;YYZ;IL;TLV;nan
T9ZMTC;1458407808;L;20;2457306;nan;1457289088;HND;TH;BKK;nan
FT7KQB;1425729920;nan;40;2457109;nan;1424908544;CPH;FI;HEL;nan
JIIGFZ;1448735360;nan;40;2457339;nan;1446018176;DXB;AE;SNN;nan
VYGNV0;1465147264;nan;40;2457416;nan;1462572544;ICN;FR;CDG;nan
IAE53V;1442775296;nan;40;2457154;nan;1443116032;CGN;DE;TXL;nan
G0CEUR;1432773120;B;40;2457119;nan;1433336448;IST;ZA;LCY;nan
S03I4I;1449406848;nan;40;2457157;nan;1448267136;LIS;BR;GRU;nan
C2J7MP;1447061248;nan;40;2457345;nan;1448594432;TXL;FI;HEL;nan
Z67EL6;1430745088;nan;40;2456849;nan;1427545600;CAN;CA;YYZ;nan
MPJVWK;1447126784;nan;40;2457246;nan;1447906048;EZE;DE;TXL;nan
33ARGN;1428194688;nan;40;2457028;nan;1428538240;VIE;MA;CMN;nan
8T58MN;1423691392;nan;40;2457085;nan;1424008448;TUN;FR;LAD;nan
VNI6VR;1440986112;nan;40;2457203;nan;1441527808;LAD;ZA;JNB;nan
H3ETJ4;1447106048;nan;40;2457357;nan;1448358016;ATL;US;MTY;nan
C3O3PG;1439309696;nan;40;2457214;nan;1440882560;CGK;ID;SIN;nan
0QXF2B;1424571776;nan;40;2457006;nan;1423592960;ATH;GB;LHR;nan
NX9YBI;1444599808;nan;40;2457221;nan;1445212416;LAX;NL;AMS;nan
DX5UTV;1441046016;nan;40;2457271;nan;1443510528;ATH;DE;ZRH;nan
EXB4OQ;1441994368;B;20;2457184;nan;1439366528;DXB;SA;AMM;nan
MZ7C49;1440682112;nan;40;2457197;nan;1441225600;BKK;GB;TRZ;nan
0PDQJ7;1437509504;nan;40;2457176;nan;1437980928;LPB;CH;ZRH;nan
OWZ386;1443913856;nan;10;2457254;nan;1442107392;DMM;SA;KWI;nan
0N50S2;1442139008;nan;40;2457278;nan;1439055744;BCN;FR;LIS;nan
AGEC7N;1441783936;nan;40;2457142;nan;1439075200;PUJ;US;MIA;nan
W1CRND;1443080064;nan;40;2457263;nan;1443578752;GYE;FJ;ELS;nan
MPI8I3;1448935680;nan;20;2457242;nan;1448309888;LHR;GB;HAJ;nan
O7E8OO;1444485120;L;40;2457138;nan;1443697664;BKK;SA;CDG;nan
5F2IME;1444967424;L;40;2457260;nan;1443766400;KBV;RU;ARN;nan
CY5YF9;1445072768;nan;40;2457305;nan;1446214016;HNL;DE;FRA;nan
MQALE0;1447918592;nan;40;2457261;nan;1449033472;MPM;KZ;ALA;nan
BQVN5U;1437847168;nan;40;2457203;nan;1437788800;CDG;DE;JFK;nan
F06YLI;1450516352;L;40;2457315;nan;1449998080;LUX;GB;BHX;nan
87MAVT;1419489024;nan;40;2457050;nan;1419912576;VLC;ES;KKJ;nan
0GZT7P;1429857408;nan;40;2456959;nan;1423200896;YYZ;SE;LLA;nan
VSNJZY;1446452480;nan;40;2457276;nan;1445531904;ZZZ;FR;CDG;nan
4S5GVM;1442557952;B;40;2457243;nan;1441410944;PEK;NL;SCL;nan
5U2AQC;1415959424;nan;20;2456981;nan;1417176832;DOH;QA;DOH;nan
BW5FI5;1443547648;B;40;2457296;nan;1445359104;PVG;CA;SIN;nan
UQ5DPH;1448851456;B;40;2457211;nan;1447854080;MMK;SE;ARN;nan
AI7T25;1451509504;nan;40;2457360;nan;1451083264;CAI;DE;MRS;nan
8PN6OL;1443061376;nan;40;2457187;nan;1440005248;FCO;DE;MUC;nan
ZCXN1U;1459047168;nan;40;2457399;nan;1459517440;ADB;FI;HEL;nan
YOR93C;1459407232;B;40;2457436;nan;1460207360;VIE;US;JFK;nan
15JI35;1419242880;L;40;2456789;nan;1417194752;LHR;DK;CPH;nan
4GZ5YQ;1412433152;nan;40;2456876;nan;1410186880;BCN;BE;PRG;nan
6XO61P;1442896384;L;40;2457030;nan;1442236800;MAD;DE;TFS;nan
499IZ1;1446178176;L;40;2457046;nan;1445079424;CPT;DE;DUS;nan
ECVO48;1441720704;B;40;2457222;nan;1439177344;IAH;GB;LGW;nan
R30X7C;1438028672;B;40;2457253;nan;1438651008;CDG;US;GEV;nan
IYRRZ8;1441968384;nan;40;2457193;nan;1439732224;GIG;KZ;TSE;nan
I5HOI2;1475006976;nan;40;2457474;nan;1473390720;BEG;RS;HEL;nan
T8WI3L;1446798208;nan;40;2457169;nan;1444821888;GDN;GB;EDI;nan
HJX5TD;1446222464;nan;40;2457278;nan;1442606720;TLV;NL;AMS;nan
5KYX67;1467634944;nan;40;2457440;nan;1465293952;MIA;DE;MUC;nan
94AQG4;1453413760;nan;40;2457279;nan;1449578880;FCO;FR;CDG;nan
Q5F8NC;1417814272;nan;40;2456883;nan;1415677824;LGW;NO;SXF;nan
K3ILRC;1443912448;nan;40;2457295;nan;1445259904;SCL;MX;LIM;nan
ZKMIKP;1443741568;B;40;2457121;nan;1442451712;JFK;DE;MUC;nan
68E7SX;1446834816;nan;40;2457276;nan;1446138368;CMN;UY;MVD;nan
XMJPYY;1411609984;nan;40;2456903;nan;1411375232;SKG;DE;CGN;nan
HV5N2Z;1451510784;B;40;2457330;nan;1450144384;OSL;NL;AMS;nan
3HTGNX;1443475840;B;40;2457145;nan;1442040320;CPH;ID;RIX;nan
VKGXUU;1457838720;nan;20;2457433;nan;1458007808;TPE;SA;RUH;nan
QC0T0O;1441359360;nan;40;2457198;nan;1441406720;USH;DE;DUS;nan
4TPSCC;1454652416;nan;40;2457312;nan;1450156160;HKG;HK;CDG;nan
RYJFBZ;1448861568;nan;40;2457351;nan;1449304320;AAR;NO;BZV;nan
9RLSDX;1417785984;B;40;2456798;nan;1416172160;JFK;SE;GOT;nan
G45EPL;1447173632;nan;40;2457195;nan;1446746752;PNH;FR;CDG;nan
C74GDR;1428642944;L;40;2456674;nan;1426229120;BKK;DE;ZRH;nan
C8F2VN;1441605504;L;40;2457158;nan;1439581568;KUL;EG;CAI;nan
J2FXKT;1446155776;nan;40;2457274;nan;1445388544;ARN;SE;CPH;nan
Y4GNLB;1413359616;nan;40;2456880;nan;1410450816;OSL;NL;OCC;nan
ZO2367;1425311488;nan;40;2457021;nan;1425908096;KEF;DK;CPH;nan
9PLV8A;1422956544;nan;40;2457023;nan;1420361728;TXL;AT;VIE;nan
D0BZN4;1422569088;nan;40;2456839;nan;1418698112;HND;SE;ARN;nan
51Z4Y0;1440282880;B;40;2457276;nan;1438966400;BCN;NO;MAM;nan
5ZHABQ;1463498112;nan;40;2457407;nan;1460763776;BKK;JP;EZE;nan
4V46N2;1439723136;nan;40;2457260;nan;1439115776;LPQ;FR;NCE;nan
6PCIVN;1466343552;nan;40;2457397;nan;1464969088;MEL;IN;DEL;nan
QD2M5W;1463617920;nan;40;2457430;nan;1462032256;MAD;ES;PMI;nan
KKZXI1;1411966208;L;40;2456828;nan;1411468032;VIE;CH;GVA;nan
NJMQ4K;1449894400;L;40;2457308;nan;1450411776;ANR;GB;LGW;nan
8IWQXZ;1418125312;nan;40;2457006;nan;1419115520;VCE;IT;ABT;nan
66R6JA;1447655680;nan;40;2457264;nan;1449508608;UME;SE;ARN;nan
ZLKSEY;1469304064;nan;40;2457424;nan;1466489216;LAX;IE;TXL;nan
N0BMYF;1442908800;L;40;2457226;nan;1442053376;GVA;LU;HKT;nan
CS1QO8;1425065728;nan;30;2457080;nan;1425556608;ALC;NL;AMS;nan
A2M8GM;1443030912;nan;40;2457235;nan;1443299712;SPU;UA;KBP;nan
EVDAQ8;1424184320;L;40;2456807;nan;1422916864;OSL;DE;MUC;nan
YEEGLU;1399977344;nan;40;2456668;nan;1396959616;DUS;DE;VIE;nan
89VSI5;1422379904;nan;40;2456919;nan;1420801792;ARN;IE;DUB;nan
8749FT;1444086656;nan;40;2457210;nan;1443143808;BCN;AR;EZE;nan
2JC3O7;1443790080;nan;40;2457242;nan;1441307264;MAO;BR;CGH;nan
HADX3P;1442013312;nan;40;2457220;nan;1442530176;BOS;US;KHG;nan
OCD7ZF;1436554496;nan;40;2457197;nan;1435831296;LIS;RO;OTP;nan
GU6NP5;1418470144;nan;40;2456937;nan;1419422592;HAJ;US;MCZ;nan
3E6PV2;1442032128;nan;40;2457255;nan;1442242304;MUC;DE;HAM;nan
T0LU1H;1441386880;nan;40;2457233;nan;1443659392;VIE;CO;BOG;nan
9QRM1G;1438423296;B;40;2457199;nan;1439656576;CDG;US;TSE;nan
K6MOKC;1442676352;nan;40;2457243;nan;1441813248;CCS;VE;CCS;nan
1D4BUE;1444689408;nan;40;2457231;nan;1445354368;ZRH;UY;SCL;nan
AFTGDS;1441057664;nan;40;2457286;nan;1439014272;LIM;SV;EZE;nan
X0QOUY;1445475200;nan;40;2457304;nan;1445388416;CAI;US;MNL;nan
XO8VD2;1442801152;nan;40;2457237;nan;1442626176;ORY;PT;CMN;nan
G9VG6H;1411639552;nan;40;2456867;nan;1413301760;HAV;FI;HEL;nan
VI2RO8;1477069440;nan;40;2457479;nan;1475722112;YUL;FR;CDG;nan
TCX95J;1436252416;nan;40;2457153;nan;1436260352;VIE;AU;PER;nan
6H7ZV0;1445986176;nan;40;2457220;nan;1444873728;YYZ;IN;BOM;nan
I0C23L;1439435648;nan;40;2457210;nan;1439589504;MEX;FR;ORY;nan
HA6EF1;1405794304;nan;40;2456791;nan;1405051392;PRG;FR;MLN;nan
S76YE4;1439358976;nan;40;2457230;nan;1439575168;MIA;AR;EZE;nan
HBJ9TM;1447205504;nan;40;2457232;nan;1446221952;LAX;FR;CDG;nan
PHCZTE;1441343744;nan;40;2457119;nan;1435298304;FOC;VE;NOU;nan
ZQF6FP;1445279872;B;20;2457347;nan;1446420480;JED;SA;LHR;nan
O8AY9F;1444847232;nan;40;2457138;nan;1443761920;LVI;NL;WAW;nan
NM9266;1459990272;B;40;2457438;nan;1458742016;MRU;FR;CDG;nan
7UOOM2;1444847104;nan;20;2457279;nan;1444593024;YYZ;SA;DMM;nan
MJS9WN;1423140864;L;40;2456895;nan;1421942400;BKK;DE;FRA;nan
52CA73;1414258688;nan;40;2456722;nan;1412066944;DPS;CH;ZRH;nan
ER3FF5;1437888640;B;20;2457200;nan;1438652928;BIO;DE;FRA;nan
AXKQJV;1446904320;nan;40;2457182;nan;1444204672;LYS;FR;NCE;nan
BAR4TS;1463705472;nan;40;2457418;nan;1460550912;HKT;AU;LHR;nan
LEB3HK;1450736128;nan;40;2457346;nan;1452123392;JNB;ZA;DUR;nan
1S21TK;1440406912;nan;40;2457220;nan;1440193536;BEG;RS;IAD;nan
FKXRQ1;1448897792;nan;40;2457140;nan;1444702464;PUJ;AR;EZE;nan
UPSNIQ;1453003392;nan;20;2457224;nan;1451967488;EZE;DE;HAM;nan
ZKVD9J;1422685056;L;40;2457031;nan;1424640256;LHR;AT;LNZ;nan
DP00CL;1427768064;nan;40;2457120;nan;1428662144;AMS;NO;LGW;nan
QA2I31;1444758656;nan;40;2457204;nan;1443189120;BOM;PK;AMM;nan
JFNSEY;1405349760;nan;40;2456724;nan;1405319552;FDF;FR;ORY;nan
UPDSE2;1446534144;nan;40;2457258;nan;1444836864;AKL;US;DMM;nan
CX61R9;1446113920;nan;40;2457271;nan;1444880000;TLV;NO;OSL;nan
RH1V1W;1433090176;nan;40;2457019;nan;1432378240;SCL;TH;AMS;nan
W35YI5;1430799872;nan;40;2457120;nan;1431006336;ORY;PT;LIS;nan
HM478I;1430707072;L;40;2456925;nan;1427104000;ORY;FR;LYS;nan
4VCE1B;1442033024;nan;40;2457207;nan;1441359616;YVR;SK;JHS;nan
1W1XYH;1439973120;nan;40;2457225;nan;1443906688;FNC;GR;BOG;nan
2MCRGA;1450155264;nan;40;2457268;nan;1448730752;ICN;TH;BKK;nan
SBYCI0;1440600192;nan;40;2457192;nan;1437994368;HKT;TH;FRA;nan
4QU30R;1450149376;nan;40;2457270;nan;1449009664;JED;IN;BOM;nan
95KC49;1435732352;L;40;2456893;nan;1432682496;BKK;CH;BLL;nan
BONN2J;1450269824;nan;40;2457367;nan;1449160576;MAA;SA;RUH;nan
1VB0UV;1454401280;nan;40;2457324;nan;1451949568;DEL;FR;GOT;nan
U9SWI6;1419511040;nan;40;2456999;nan;1419814272;JNB;ES;BCN;nan
3QQNNX;1417625728;nan;40;2456886;nan;1414137088;BEG;LU;LUX;nan
MTWBX5;1420598400;nan;40;2456804;nan;1416753536;MIA;FR;CMN;nan
31SEUG;1443808256;nan;40;2457236;nan;1441849984;DFW;SN;FMM;nan
OQLBU0;1441718272;nan;40;2457248;nan;1443075328;MUC;KZ;TSE;nan
W5AH3Q;1445997696;nan;40;2457292;nan;1446955776;AKL;TW;TPE;nan
GOKMRQ;1443759488;nan;40;2457264;nan;1445867520;MAD;IT;SJO;nan
HWBLIS;1446965632;nan;40;2457302;nan;1445137792;BCN;IL;TLV;nan
7JUA6F;1409931776;nan;40;2456822;nan;1407145344;MNL;SA;VAA;nan
5PW7NL;1447323776;B;40;2457329;nan;1445040512;ARN;SE;ARN;nan
RBB27C;1438857600;nan;40;2457220;nan;1438484480;TXL;MY;SPU;nan
6NFT87;1447228544;nan;40;2457310;nan;1447622656;IST;DE;FRA;nan
CO13C2;1440761344;nan;40;2457215;nan;1441272576;CPH;US;PDX;nan
7ZGU3F;1456045952;L;40;2457319;nan;1453904128;EWR;SE;ARN;nan
PATDTH;1442592128;nan;40;2457239;nan;1442672000;DEL;CA;SVO;nan
O6G0Y6;1414513024;nan;40;2457060;nan;1413862912;BCN;BR;IKA;nan
Y9PP0Z;1426913408;L;40;2457011;nan;1426030976;SIN;AT;OUL;nan
XHEUUR;1402754048;nan;40;2456493;nan;1399681792;LYS;GB;LGW;nan
EYDXOX;1423348224;nan;40;2457033;nan;1422989824;MAD;ES;SVQ;nan
QTRXIV;1445575040;nan;40;2457206;nan;1444147584;VCE;NL;AMS;nan
ZBOSKP;1441058688;B;40;2457114;nan;1435775744;TPE;NL;AMS;nan
1PPEIR;1442330112;nan;40;2457119;nan;1439687552;BEG;CH;BRU;nan
UX4IFS;1443312000;B;20;2457243;nan;1444091008;TRD;NO;OSL;nan
BVNSCL;1438553344;nan;40;2457152;nan;1437827200;TPA;GB;BHX;nan
PJW6ES;1445231104;nan;40;2457262;nan;1442962176;MAD;AE;DXB;nan
C8NBGQ;1417294592;nan;40;2456954;nan;1415630848;SJO;ES;CDG;nan
KBI2Z1;1446013824;B;10;2457245;nan;1445747584;SJO;FI;JFK;nan
I01G4D;1452283136;nan;40;2457301;nan;1449901824;DEN;FR;MRS;nan
2DVN6Z;1443522816;nan;40;2457231;nan;1442396544;TUN;ID;CGK;nan
UQ9TVJ;1445350144;nan;40;2457249;nan;1444373760;HKT;TH;BKK;nan
AR0YPM;1439627520;nan;40;2457260;nan;1441264000;MAD;VE;CCS;nan
XUIUCB;1460730496;L;40;2457269;nan;1456422400;DXB;GB;LHR;nan
3CO7YY;1444020096;nan;40;2457241;nan;1441727360;MAN;NL;AMS;nan
6FAH91;1425547904;nan;40;2457006;nan;1423157632;PMI;DE;ORY;nan
7T2BL3;1444897152;nan;40;2457228;nan;1443556608;ORD;IN;MAA;nan
6ZHASL;1439588352;nan;20;2457176;nan;1440160512;LHR;CH;HAM;nan
61GZDT;1453621248;nan;40;2457290;nan;1451664256;MUC;DE;NUE;nan
7444MM;1453643008;nan;40;2457280;nan;1452161280;LGW;DK;LHR;nan
LTQYVN;1442787584;L;40;2457303;nan;1443843840;LOS;NG;LOS;nan
XXDU3N;1442123648;L;40;2457135;nan;1440348416;MNL;CA;CPT;nan
UYXXO7;1415748736;nan;40;2456937;nan;1414544896;USM;GB;GIG;nan
A1F396;1442994048;B;40;2457297;nan;1445465600;FRA;DE;BLR;nan
8VKG3E;1446307968;nan;40;2457218;nan;1444918400;LCA;AT;VIE;nan
J42UD0;1448331648;nan;40;2457257;nan;1446469632;MIA;NO;OSL;nan
KBXKYF;1444593792;nan;40;2457269;nan;1444983040;CCS;AU;MEL;nan
PR98NW;1444128000;nan;40;2457248;nan;1444655744;ASU;ES;MAD;nan
GCOTQA;1441328000;nan;20;2457211;nan;1438920320;CAI;SA;RUH;nan
NBA6A2;1456966528;nan;40;2457376;nan;1456651648;ORY;BR;SSA;nan
I8H9X8;1445652096;B;40;2457196;nan;1442989568;OSL;FR;ZLO;nan
UCO6E6;1443838336;nan;40;2457210;nan;1443535360;SAP;US;JFK;nan
NZ045O;1443930240;nan;40;2457274;nan;1444969472;PEK;IN;DEL;nan
56519H;1445281152;nan;40;2457179;nan;1442255872;YYZ;CA;FRA;nan
TDRER5;1400276352;L;40;2456714;nan;1400475776;KRS;NO;SDF;nan
51CY9U;1455122304;nan;40;2457323;nan;1453795968;MXP;NO;CPH;nan
M0BZWC;1442802560;B;40;2457224;nan;1443197952;AEP;US;KWI;nan
GRIJPD;1426931200;nan;40;2457112;nan;1429458048;SJJ;SE;GOT;nan
TT4TM4;1455413760;nan;40;2457386;nan;1454727424;BOG;CO;CLO;nan
6GDA6W;1442422016;nan;40;2457280;nan;1444456576;IGR;AR;PRG;nan
SK4B1T;1442865280;nan;40;2457213;nan;1441758208;MNL;SA;JED;nan
VRSBF9;1444837120;nan;40;2457278;nan;1444791168;MAN;IT;SEA;nan
QF3MV2;1442522496;nan;40;2457261;nan;1442910080;AMM;SA;RUH;nan
TJSTWL;1441278720;nan;40;2457241;nan;1439483904;BAQ;PE;PEW;nan
KZB1RW;1453846528;nan;40;2457304;nan;1452121856;SYD;IL;TLV;nan
O2D5L5;1411720320;nan;20;2456855;nan;1412054656;CTG;DK;PRG;nan
3M7NSE;1431593728;nan;40;2457168;nan;1430910720;MOB;NO;OSL;nan
PFHQQL;1470514176;nan;40;2457452;nan;1470475264;GVA;FR;BEY;nan
MXIRGE;1450184448;B;20;2457265;nan;1450385664;DXB;DE;MUC;nan
Z7QXUC;1434182656;nan;40;2457024;nan;1432195840;FCO;IT;AMS;nan
6TIU0M;1457431296;nan;40;2457363;nan;1455902720;OSL;NL;AMS;nan
WM6WFQ;1438851072;nan;40;2457285;nan;1440748544;LIM;PE;BCN;nan
EXT1NZ;1444188544;nan;40;2457297;nan;1444119168;ALG;FR;ORY;nan
I0RTUB;1406065152;nan;40;2456857;nan;1407773184;MAD;ES;VLC;nan
H4JPGF;1423439104;nan;40;2456949;nan;1421304064;IST;PL;WAW;nan
U023OB;1452169856;nan;40;2457314;nan;1452663552;BOG;AR;EZE;nan
LI0MEZ;1445121664;nan;40;2457229;nan;1443632512;PNH;FR;CDG;nan
3O5SSQ;1418962176;nan;40;2456965;nan;1418345984;MNL;SE;CPH;nan
0UA13D;1437812480;B;40;2457124;nan;1436795904;LIN;FR;CDG;nan
NBZ95U;1427020672;B;10;2457080;nan;1427619456;DOH;QA;DOH;nan
8H4EKS;1417506688;nan;40;2456953;nan;1417243136;KUL;RU;BHX;nan
ILDKPN;1450261632;L;20;2457329;nan;1449601024;MNL;DE;TRD;nan
LCC3VV;1409996032;nan;40;2456877;nan;1409913600;SMR;FR;TLS;nan
YZAU0N;1418951680;nan;40;2457068;nan;1420550656;HAM;NO;OSL;nan
KXF334;1443960576;nan;40;2457219;nan;1442542720;FAE;BR;LIS;nan
6JYZE9;1426334976;L;40;2456999;nan;1425592832;AYT;RU;DME;nan
Y8HFW1;1429477760;nan;40;2457154;nan;1426500224;SFO;FR;LYS;nan
ORQARM;1440360960;nan;40;2457163;nan;1439064576;IGU;BR;GRU;nan
TKHPXA;1444701824;nan;40;2457266;nan;1445308288;HAM;SA;KEF;nan
O0XNPK;1447783040;nan;40;2457262;nan;1448114560;TUN;GB;LGW;nan
R6GSC2;1442314240;nan;40;2457174;nan;1439449472;BEG;DE;FRA;nan
5NLQWU;1464644736;nan;40;2457383;nan;1462842752;LYR;SK;PEK;nan
TZN7P4;1429938688;nan;40;2457115;nan;1427481344;YUL;IT;SGN;nan
A5VGXE;1441986176;nan;40;2457185;nan;1442486656;BOG;CO;PEI;nan
ZP7EKC;1445850496;nan;40;2457132;nan;1444777216;TLV;IT;MXP;nan
IP69NZ;1441036160;nan;40;2457216;nan;1441905664;AGP;FR;BRU;nan
746229;1446966400;nan;40;2457294;nan;1445550720;DUB;GB;KBP;nan
ZHFAT5;1438605312;L;40;2457236;nan;1438794624;EWR;NO;ARN;nan
POEJML;1443072256;nan;40;2457278;nan;1444168832;AXM;US;HYD;nan
74N4WG;1419275776;nan;40;2456881;nan;1417429888;ARN;NO;KRN;nan
LGQNJC;1400430080;nan;20;2456774;nan;1400863104;FRA;CN;PEK;nan
EJSSCU;1441905792;B;40;2457234;nan;1442788096;BRU;IN;BOM;nan
0586UT;1425088000;nan;40;2457057;nan;1423540736;EZE;NO;BGO;nan
13OUJA;1434985984;B;20;2457173;nan;1436446976;PLZ;ZA;JNB;nan
DWDVS5;1457795200;nan;40;2457371;nan;1458915328;HAV;PA;BOG;nan
IE8ZY5;1437684224;nan;30;2457201;nan;1437649280;ORY;FR;ALG;nan
HO56YF;1395097088;L;40;2456592;nan;1395539584;KUL;DE;DUS;nan
NIF6FS;1433440000;nan;40;2457023;nan;1430567680;MXP;RU;SVO;nan
RLPIPP;1445247616;nan;40;2457172;nan;1444507648;GRJ;ZA;JNB;nan
WWDBPY;1449192704;nan;40;2457163;nan;1445260800;YVR;GB;LHR;nan
BWRWKV;1448403712;nan;20;2457240;nan;1447990272;HKG;HK;HKG;nan
C701OV;1438682240;nan;40;2457217;nan;1437737344;NRT;DE;STR;nan
M7263X;1404804096;nan;40;2456720;nan;1404061824;JNB;GB;BKK;nan
OREW9M;1454697344;B;40;2457401;nan;1455767936;CRD;US;BEG;nan
